"term","estimate","std.error","statistic","p.value"
"(Intercept)",-11.0011006133174,0.593721506375734,-18.529058649857,1.20374373515174e-76
"age",0.0888548664537283,0.00796716695310042,11.1526301603546,6.95205268158343e-29
"pack_years",0.517865265891449,0.0205499499230974,25.2003176567057,3.97367577510264e-140
"copdYes",1.66813584813289,0.191406727105132,8.71513699315621,2.90407279733932e-18
