"term","estimate","std.error","statistic","p.value"
"(Intercept)",-2.00572730590308,0.158059071454079,-12.6897323098966,6.74158044850817e-37
"age",0.0163328616222817,0.00277483170611705,5.88607286931179,3.95480000091715e-09
