"Model","Test_Accuracy","Test_Sensitivity","Test_Specificity","Test_AUC","CV_Accuracy","CV_Sensitivity","CV_Specificity"
"Age + Smoking Status",0.806,0.814,0.785,0.886,0.81,0.81,0.808
"Age + Pack-Years",0.954,0.968,0.91,0.992,0.949,0.968,0.891
