"Model","Test_Accuracy","Test_Sensitivity","Test_Specificity","Test_AUC","CV_Accuracy","CV_Sensitivity","CV_Specificity"
"Age + smoker",0.8064,0.813631522896699,0.784565916398714,0.886208219046739,0.80985786309546,0.810428555232229,0.808096141682479
"Age + pack_years",0.9536,0.968051118210863,0.909967845659164,0.991726849045814,0.948528638569431,0.967690185556101,0.89066183658214
