"term","estimate","std.error","statistic","p.value"
"(Intercept)",-21.0270259598682,204.383633056295,-0.10288018490246,0.918058064397163
"age",0.0261926003187048,0.00373872814419076,7.00575150386446,2.45663601004163e-12
"smokerSmoker",19.786588782091,204.383521796173,0.0968110765887655,0.922876427410796
